GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.config,TracingConfiguration,9,0,0,0,2,0,2,0,2,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.config,ApplicationReadyInitializer,143,0,0,0,40,0,3,0,3,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.config,MicrometerConfig,8,0,0,0,2,0,2,0,2,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.config,KafkaConfig,76,0,0,0,19,0,5,0,5,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter,KafkaMPSBootstrap,13,0,0,0,4,0,3,0,3,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.Itr,227,0,38,0,53,0,24,0,5,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.reader,MessageReader,158,0,20,0,37,0,17,0,7,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.Node,0,12,0,0,0,4,0,1,0,1
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.OrderIterator,16,122,2,12,4,31,5,8,3,3
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue,1011,269,164,20,230,82,118,23,31,18
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.reader,PendingQueue.LBQSpliterator,202,0,40,0,41,0,27,0,7,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps,KafkaMessage,36,0,4,0,12,0,6,0,4,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps,MessagePollingListener,46,0,2,0,12,0,3,0,2,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.writer,RestApiCaller,45,0,6,0,9,0,4,0,1,0
Kafka Messaging Proxy Service,io.oigres.ecomm.service.limiter.mps.writer,MessageWriter,113,0,6,0,33,0,8,0,5,0
